INSPECTION_STATUS,VIOLATION_CODE,VIOLATION_STATUS,INSPECTION_CATEGORY,PROPERTY_GROUP,LONGITUDE,LATITUDE,DEPARTMENT_BUREAU
FAILED,CN063014,OPEN,COMPLAINT,small,-87.691078,42.002457,CONSERVATION
FAILED,EL0086,OPEN,COMPLAINT,small,-87.714074,41.956543,SPECIAL TASK FORCE
FAILED,EL0086,OPEN,COMPLAINT,small,-87.633451,41.759317,ELECTRICAL
FAILED,CN197087,OPEN,COMPLAINT,small,-87.795168,41.952655,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.769105,41.785145,CONSERVATION
FAILED,NC2022,OPEN,COMPLAINT,small,-87.712142,41.842044,NEW CONSTRUCTION
FAILED,CN070014,OPEN,COMPLAINT,small,-87.713576,41.739676,CONSERVATION
FAILED,CN073024,COMPLIED,COMPLAINT,small,-87.727869,41.86917,CONSERVATION
FAILED,NC2022,OPEN,COMPLAINT,small,-87.830633,41.949832,NEW CONSTRUCTION
FAILED,CN070034,OPEN,PERIODIC,small,-87.543687,41.730277,CONSERVATION
FAILED,PL157017,OPEN,COMPLAINT,small,-87.657112,41.792445,SPECIAL TASK FORCE
FAILED,PL237020,OPEN,COMPLAINT,small,-87.726443,41.902468,SPECIAL TASK FORCE
FAILED,VT1010,OPEN,PERMIT,small,-87.65453,41.920956,VENTILATION
FAILED,EL0024,OPEN,COMPLAINT,small,-87.617871,41.804047,SPECIAL TASK FORCE
FAILED,PL194029,OPEN,COMPLAINT,small,-87.731726,41.924315,SPECIAL TASK FORCE
FAILED,CN197079,OPEN,COMPLAINT,small,-87.683636,41.883816,CONSERVATION
FAILED,CN141016,OPEN,COMPLAINT,small,-87.720044,41.940799,CONSERVATION
FAILED,RF302041,OPEN,PERIODIC,small,-87.615206,41.765823,REFRIGERATION
FAILED,CN039013,OPEN,PERIODIC,small,-87.684469,42.010176,SPECIAL INSPECTION PROGRAM
FAILED,NC2011,OPEN,COMPLAINT,large,-87.693688,41.978701,NEW CONSTRUCTION
FAILED,CN197019,OPEN,COMPLAINT,small,-87.682144,41.883801,CONSERVATION
FAILED,RF302091,OPEN,PERIODIC,small,-87.624968,41.772204,REFRIGERATION
FAILED,CN041063,OPEN,COMPLAINT,small,-87.758303,41.873794,CONSERVATION
FAILED,PL153017,OPEN,COMPLAINT,small,-87.696729,41.902821,CONSERVATION
PASSED,VT2040,COMPLIED,PERMIT,small,-87.663309,41.920495,VENTILATION
FAILED,CN073014,OPEN,COMPLAINT,small,-87.693904,41.878259,CONSERVATION
FAILED,CN138056,OPEN,COMPLAINT,small,-87.688134,41.903893,CONSERVATION
FAILED,CN015012,OPEN,COMPLAINT,small,-87.717726,41.896839,CONSERVATION
FAILED,NC2022,OPEN,COMPLAINT,small,-87.588983,41.739856,NEW CONSTRUCTION
FAILED,CN197079,OPEN,COMPLAINT,small,-87.703527,41.797657,CONSERVATION
FAILED,CN079014,OPEN,COMPLAINT,small,-87.723373,41.840491,SPECIAL TASK FORCE
FAILED,EL0096,OPEN,COMPLAINT,small,-87.640926,41.845291,SIGNS
FAILED,EV1111,OPEN,PERIODIC,small,-87.687024,41.929,ELEVATOR
FAILED,CN062024,OPEN,COMPLAINT,small,-87.628821,41.763882,CONSERVATION
FAILED,EL0029,OPEN,COMPLAINT,small,-87.708449,41.931028,CONSERVATION
FAILED,NC2011,OPEN,COMPLAINT,small,-87.767798,41.776232,CONSERVATION
FAILED,EL0086,OPEN,COMPLAINT,small,-87.661399,41.806004,SPECIAL TASK FORCE
FAILED,CN070014,OPEN,COMPLAINT,small,-87.746736,41.883005,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.564442,41.759979,CONSERVATION
FAILED,CN062024,OPEN,PERIODIC,small,-87.589229,41.799169,CONSERVATION
FAILED,CN198019,OPEN,PERIODIC,small,-87.662196,41.972526,CONSERVATION
FAILED,CN190019,OPEN,COMPLAINT,small,-87.735455,41.884458,CONSERVATION
FAILED,CN077014,OPEN,COMPLAINT,small,-87.7852,41.943953,CONSERVATION
FAILED,CN196029,OPEN,COMPLAINT,small,-87.665649,41.774102,CONSERVATION
FAILED,CN070014,COMPLIED,COMPLAINT,small,-87.746531,41.885277,CONSERVATION
FAILED,CN076044,OPEN,COMPLAINT,small,-87.630148,41.682415,CONSERVATION
FAILED,CN070014,OPEN,COMPLAINT,small,-87.650548,41.728472,SPECIAL TASK FORCE
FAILED,CN061014,OPEN,COMPLAINT,small,-87.574972,41.754488,CONSERVATION
FAILED,CN046013,OPEN,COMPLAINT,small,-87.547841,41.748604,CONSERVATION
